Town FIP,Town Name,County Name,# COVID19 Deaths,COVID19 Death Rates,Death Rates (Exclude LTC),# COVID19 Cases,COVID19 Case Rates,Case Rates (Exclude LTC),COVID19 Fatality Rates,# LTC Beds,Population Density,% Population (Age<15),% Population (Age 15-44),% Population (Age 45-64),% Population (Age>64),% Population (White),% Population (Black),% Population (Asian),% Population (Hispanic),% Minority,% Below High School Edu.,% Linguistic Isolate,% Below Poverty Level,Gini Index,Median Gross Rent,Median Household Income,Median House Value,% High Occupancy Residence,% Group Quarter Residence,% Population (Disability),% Uninsured,% Unemployed,% Occupation (Wholesale),% Occupation (Retail),% Occupation (Transportation),% Occupation (Health Care),% Occupation (Food Service),% Occupation (High Risk),# Restaurants Per Capita,# Supermarkets Per Capita,% Commute (To Diff. Counties),% Commute (To NY City),% Commute (Public Transport),SVI (Socioeconomic),SVI (Disability),SVI (Minority & Language),SVI (Housing & Transport),SVI (Overall),PM25 Average Conc.,NO2 Average Conc.,Ozone Seasonal DM8HA,Acrolein,Acetaldehyde,Formaldehyde,Diesel PM,Naphthalene,Acrylic Acid,Acrylonitrile,Beryllium,Chlorine,Chromhex,Ethylene Glycol,Hexamethylene Diisocyanate,Hydrochloric Acid,Maleic Anhydride,Methylene Chloride,Methyl Bromide,Nickel,Propionaldehyde,"2,4-Toluene Diisocyanate","4,4P-Methylenediphenyl Diiso.",Inhalation Cancer Risk,Respiratory Hazard Index,NPL Site Proximity,RMP Facility Proximity,TSDF Facility Proximity,Proximity to TWWD,Traffic Proximity,Proximity to Natural Gas EGU,Proximity to Petroleum EGU,Proximity to Biomass EGU,Proximity to Coal EGU,Proximity to Nuclear EGU,Proximity to WFFEGU,DOT Noise Level
287,Saddle Brook Township,Bergen,NA,NA,NA,336,242.6868906,242.6868906,NA,0,5040.340198,14.44564825,36.72806067,30.37919827,18.44709281,84.60093897,4.160346696,7.973997833,18.28819068,30.77645359,10.55050263,6.137387387,14.16395811,0.3926,1700,106776,379000,12.91440953,0.130010834,9.344511093,5.167305052,2.429930573,3.46695558,6.363308053,2.217407006,8.573492235,3.828096786,24.44925966,1.077741055,0.287397615,29.13687252,6.500541712,4.109786926,0.394690265,0.134513274,0.719469027,0.676106195,0.481415929,8.391877651,29.39193092,40.61709449,0.043910025,1.036313198,1.381335946,1.043196959,0.057978734,1.59E-04,1.61E-04,7.94E-05,5.04E-04,2.60E-05,0.274186292,6.32E-07,0.135926671,1.85E-05,0.221125039,0.028001986,6.87E-04,0.021250366,5.65E-05,4.49E-04,35.34741714,0.510850475,1.521038193,0.490345894,9.13008635,0.016427764,2279.313915,23.64193259,0.130076724,3.242963128,1.317611033,5.246453522,4.717604909,52.90704004
288,Elmwood Park Borough,Bergen,NA,NA,NA,648,323.0470113,323.0470113,NA,280,7331.841396,18.19632085,40.4706117,26.23261379,15.10045366,76.04566529,6.899646044,8.499925221,27.84784885,45.73009622,8.310409729,8.711783912,20.25367023,0.3952,1660,77334,362700,15.93299766,0.149558802,9.08818984,6.261528491,3.920839915,3.27035246,6.221646144,2.472705519,9.302557456,3.624308291,24.89156987,0.64638027,0.198886237,29.81703973,6.106984396,3.773867092,0.461946903,0.665486726,0.860176991,0.402654867,0.666371681,8.376444251,29.11489358,40.54605531,0.042847586,1.030305538,1.372398308,1.030501787,0.056280583,1.62E-04,1.62E-04,7.21E-05,4.99E-04,2.54E-05,0.254320292,6.01E-07,0.134038461,1.87E-05,0.218718507,0.028002009,6.37E-04,0.02051047,5.46E-05,4.33E-04,35.26985533,0.508995619,1.213072721,0.955370051,8.853769715,0.028170231,3519.981755,79.44269932,0.131862283,3.241242973,1.327628981,5.244582313,12.69202397,52.69796784
289,Totowa Borough,Passaic,NA,NA,NA,318,293.683044,272.4418175,NA,214,2654.614151,14.31473956,37.04285187,28.92500924,19.71739934,83.450314,4.682305135,5.966014038,17.82415959,30.16254156,9.139393939,4.979137691,11.4159955,0.3769,1569,105637,371200,15.32138899,3.306243074,11.82805769,5.253792845,3.050901043,3.463243443,6.751015885,1.606944958,7.480605837,3.601773181,22.9035833,1.20059106,NA,38.81603251,4.414480975,3.417066864,0.350442478,0.538053097,0.684955752,0.353097345,0.483185841,8.291925275,27.97080684,40.3234334,0.035604908,0.983840523,1.289363256,0.732572081,0.04628409,2.34E-04,2.09E-04,5.07E-05,3.41E-04,1.93E-05,0.195138493,4.80E-07,0.121846083,1.27E-05,0.177708764,0.028001042,4.59E-04,0.015475694,4.56E-05,3.63E-04,31.76398761,0.442522537,0.225018904,1.173050635,4.801186716,0.049820061,771.5949041,9.13351739,0.140355124,2.991222635,1.374881665,5.258822008,2.592348034,47.4640093
290,Stanhope Borough,Sussex,1,29.88643156,29.88643156,32,95.63658099,95.63658099,3.125,0,1596.424783,17.84219964,34.07053198,33.95098625,14.13628213,90.28690974,1.255230126,1.494321578,12.55230126,17.39390317,5.985463873,0.608828006,9.873570138,0.3184,1657,95819,247400,6.216377764,0.38852361,10.07172744,2.032277346,3.501750875,3.347280335,6.963538553,2.181709504,7.650926479,4.542737597,24.68619247,0.9660669,NA,53.4070532,2.151823072,0,0.056637168,0.892035398,0.384955752,0.148672566,0.29380531,7.803334247,16.07144892,39.78081634,0.019408896,0.824731156,1.074590082,0.387749817,0.026750352,1.32E-04,9.18E-05,2.89E-05,1.60E-05,1.86E-05,0.0330686,0,0.09125481,1.83E-05,0.231309566,0.028000434,3.67E-04,0.006946135,1.66E-05,7.66E-05,25.24601963,0.310832536,0.520254403,0.046277321,1.170530047,0.003683937,222.0659375,0.939104144,0.156264302,0.149764969,1.584916583,4.923396152,0.674427979,45.85818508
291,Independence Township,Warren,NA,NA,NA,42,77.06422018,77.06422018,NA,0,272.8030071,16.66055046,37.72477064,29.88990826,15.72477064,90.49541284,4.458715596,0.80733945,12.44036697,19.39449541,5.891594658,1.325757576,11.32561133,0.3788,1353,94250,253300,8.862385321,0.385321101,6.159220445,3.769075198,4.720765196,2.935779817,6.110091743,2.128440367,7.155963303,2.990825688,21.32110092,1.072925398,0.201173512,42.18348624,1.302752294,0.018348624,0.191150442,0.051327434,0.396460177,0.274336283,0.092035398,7.987522466,17.20686807,39.21923987,0.016445947,0.832766948,1.022928948,0.247576,0.022248981,1.21E-04,9.45E-05,2.44E-05,4.15E-04,1.81E-05,0.027604964,0,0.08208441,1.97E-05,0.191895025,0.02800059,3.09E-04,0.004296475,1.43E-05,5.25E-05,25.08716049,0.2914087,0.07357636,0.062720177,0.234921628,6.55E-04,88.53824771,2.216263361,0.157220613,0.770305937,1.699644673,4.839901034,1.067229401,45.07897727
292,Tenafly Borough,Bergen,NA,NA,NA,180,123.0180426,99.09786769,NA,189,3211.604487,25.60142154,29.77720066,31.30125752,13.32012028,65.05604155,2.938764352,27.76107162,8.467741935,40.60962274,3.127079175,7.782515991,8.963623885,0.4512,2271,172926,829600,10.41552761,0.888463641,5.264241592,4.708304736,4.498770433,3.034445052,3.840896665,1.141334062,6.574630946,2.651722253,17.24302898,1.021311364,0.272349697,28.92974303,15.86249317,10.31984691,0.127433628,0.120353982,0.792920354,0.660176991,0.392035398,8.207951333,27.93023376,41.26357125,0.039995987,1.033794265,1.351098772,0.905761124,0.054294394,1.20E-04,1.68E-04,1.11E-04,3.87E-04,2.69E-05,0.445034351,6.02E-07,0.110198045,1.11E-05,0.187262145,0.028001822,8.61E-04,0.022568053,6.24E-05,5.31E-04,34.0135596,0.483626639,0.108712322,0.18003907,3.528334886,2.33E-04,453.9750004,2.476743127,0.116875667,2.435098518,1.247459525,5.112026253,1.439372935,46.73087421
293,Caldwell Borough,Essex,11,138.0348852,125.4862593,133,166.8967248,149.3286485,8.270676692,30,6728.596106,14.11720417,41.3853683,28.24695696,16.25047057,87.02472079,3.701844648,5.634333041,10.4530054,21.15698331,3.843453843,3.92096326,15.04626525,0.4597,1512,96806,466700,16.2128247,6.839001129,6.78030303,6.161616162,3.40765671,3.275191367,4.4045677,1.656418622,6.399799222,3.701844648,19.43782156,0.822593913,0.195855694,35.06086084,7.692307692,2.396787551,0.444247788,0.037168142,0.550442478,0.828318584,0.456637168,8.444243065,27.55854447,40.16417186,0.029922107,0.928112469,1.250649223,0.508118496,0.040326698,2.39E-04,1.92E-04,4.87E-05,3.17E-04,1.96E-05,0.164051157,4.48E-07,0.113190262,1.15E-05,0.168820072,0.028000521,4.35E-04,0.011461068,4.20E-05,3.11E-04,30.29916137,0.388988344,0.481385319,0.810652571,2.817288622,0.016870954,583.6673108,0.772955427,0.159623406,3.535074482,1.453130131,5.58448344,1.581230209,47.34990204
294,Edgewater Borough,Bergen,NA,NA,NA,188,151.5762316,141.9011529,NA,87,12801.02008,17.19745223,47.27888414,23.71200516,11.81165847,51.43916794,5.256792711,38.15205999,13.10166895,59.1872934,2.649356133,10.43296818,12.55041136,0.4567,2506,127221,600600,3.233088769,0.040312828,6.296863662,7.361122309,3.467730838,3.031524631,4.635975167,1.27388535,6.087236959,3.676529872,18.70515198,2.708470125,0.656598818,35.43497541,21.93824075,17.5763928,0.522123894,0.005309735,0.853982301,0.792920354,0.584070796,8.512655387,29.44501111,40.47207303,0.051881952,1.118505218,1.515715626,1.480802266,0.065922626,1.11E-04,1.16E-04,2.55E-04,3.69E-04,3.54E-05,0.715240991,1.33E-06,0.099986001,1.08E-05,0.228248531,0.028003549,0.001611646,0.034813987,5.72E-05,7.82E-04,38.5337741,0.600397333,0.861017089,1.150165052,52.33761233,0.015028097,1219.121237,277.6302837,0.130967534,3.890383437,1.314399522,5.613634865,41.18596925,48.45552847
295,Bloomfield Township,Essex,69,140.0730816,113.682501,1229,249.4924888,239.54527,5.614320586,107,9183.706225,17.61875761,43.13844905,25.88915956,13.35363378,61.20990662,20.14413317,8.775883069,29.42346732,58.8773853,8.135248875,4.925445443,21.18487118,0.4223,1379,78034,329900,15.43239951,1.309378806,9.183528216,8.791052364,6.67908088,2.842062525,5.698335363,2.809581811,9.01136825,4.216402761,24.57775071,0.737757652,0.24585126,37.84612261,8.942346732,9.092570038,0.69380531,0.36460177,0.867256637,0.853982301,0.810619469,8.712752117,29.15083242,39.86908697,0.042531583,1.03259131,1.379592358,0.845277762,0.054057617,1.82E-04,2.12E-04,7.07E-05,5.60E-04,2.36E-05,0.257021378,4.69E-07,0.10372418,2.16E-05,0.22165441,0.028000913,6.29E-04,0.019724364,5.62E-05,4.75E-04,34.73770219,0.490000732,0.644664355,0.151005898,6.90572664,6.80E-08,2705.538957,1.9060406,0.15701877,6.510423273,1.43033273,5.771323924,2.585941449,51.97476776
296,Verona Township,Essex,14,104.1899233,104.1899233,161,119.8184118,119.8184118,8.695652174,0,4770.168037,19.25280941,30.72114311,30.55741609,19.46863139,90.92803453,1.964724269,5.432760289,6.93607204,15.36057156,1.384331419,2.335456476,9.027312644,0.4243,1672,128060,457400,9.29522959,0.178611297,7.501674481,1.726575873,3.715456829,2.597305946,4.524819528,1.428890377,6.779787155,3.118255563,18.44905857,1.100852766,0.220225875,35.5957431,8.379846692,5.269033266,0.247787611,0.309734513,0.442477876,0.410619469,0.25840708,8.532207111,27.11134135,40.07989193,0.034833642,0.985009944,1.302932439,0.566534744,0.04542663,1.91E-04,1.59E-04,5.52E-05,2.47E-04,1.83E-05,0.207944444,3.19E-07,0.086177986,9.32E-06,0.190491593,0.028000591,4.55E-04,0.014922565,4.83E-05,4.01E-04,32.04521693,0.424856878,0.269658269,0.265008085,3.372865863,0.012395362,471.0999371,1.075386502,0.157636916,4.180310391,1.440439941,5.627068877,1.804594428,46.91998622
